#{"t_start": 1707321222.3920522, "env_id": "MiniGrid-Empty-5x5-v0"}
r,l,t
0.928,8,54.416418
0.811,21,54.445674
0.946,6,54.453817
0.928,8,54.464745
0.838,18,54.495384
0.928,8,54.507058
0.919,9,54.519603
0.955,5,54.52688
0.955,5,54.534279
0.919,9,54.546803
0.946,6,54.555511
0.955,5,54.562482
0.955,5,54.571191
0.955,5,54.584288
0.838,18,54.613807
0.91,10,54.628327
0.937,7,54.639087
0.946,6,54.647307
0.892,12,54.664804
0.928,8,54.675731
0.937,7,54.688197
0.937,7,54.700105
0.937,7,54.70996
0.874,14,54.729093
0.937,7,54.738254
0.928,8,54.74953
0.928,8,54.760255
0.937,7,54.769532
0.937,7,54.778626
0.919,9,54.795869
0.946,6,54.806273
0.928,8,54.818805
0.955,5,54.826574
0.937,7,54.837169
0.955,5,54.844911
0.937,7,54.85556
0.946,6,54.863582
0.883,13,54.880606
0.946,6,54.891581
0.928,8,54.904567
0.946,6,54.913435
0.946,6,54.921889
0.91,10,54.934988
0.928,8,54.946721
0.946,6,54.954593
0.946,6,54.962506
0.955,5,54.969084
0.856,16,54.993765
0.937,7,55.004957
0.946,6,55.013687
0.928,8,55.024835
0.901,11,55.039514
0.955,5,55.046574
0.901,11,55.060987
0.928,8,55.072125
0.946,6,55.080128
0.847,17,55.108407
0.937,7,55.118271
0.937,7,55.128975
0.946,6,55.137789
0.883,13,55.155721
0.937,7,55.165265
0.919,9,55.177942
0.937,7,55.187885
0.937,7,55.203016
0.946,6,55.214432
0.946,6,55.224757
0.946,6,55.23331
0.946,6,55.241841
0.946,6,55.250491
0.955,5,55.25754
0.946,6,55.266664
0.955,5,55.27373
0.946,6,55.2821
0.91,10,55.295614
0.901,11,55.319318
0.928,8,55.330945
0.946,6,55.339458
0.937,7,55.34986
0.928,8,55.361039
0.946,6,55.370145
0.937,7,55.379838
0.937,7,55.38945
0.937,7,55.398921
0.919,9,55.418789
0.946,6,55.427881
0.919,9,55.440725
0.937,7,55.450521
0.937,7,55.460384
0.937,7,55.470215
0.937,7,55.479815
0.946,6,55.487676
0.919,9,55.500113
0.937,7,55.514109
0.955,5,55.543314
0.928,8,55.555882
0.928,8,55.567922
0.955,5,55.575588
0.937,7,55.586527
0.937,7,55.597317
0.955,5,55.604043
0.937,7,55.618496
0.937,7,55.630385
0.955,5,55.63742
0.946,6,55.645754
0.928,8,55.656872
0.901,11,55.671536
0.946,6,55.6796
0.901,11,55.694616
0.946,6,55.704232
0.883,13,55.725849
0.937,7,55.735671
0.937,7,55.74613
0.937,7,55.755968
0.937,7,55.765432
0.937,7,55.774966
0.946,6,55.783487
0.928,8,55.794176
0.928,8,55.80486
0.937,7,55.817392
0.928,8,55.830237
0.802,22,55.862982
0.937,7,55.872951
0.955,5,55.879956
0.946,6,55.888238
0.946,6,55.89652
0.937,7,55.906286
0.937,7,55.919168
0.865,15,55.945403
0.955,5,55.952767
0.946,6,55.961214
0.946,6,55.969548
0.901,11,55.985398
0.928,8,55.996367
0.937,7,56.005993
0.928,8,56.017257
0.946,6,56.030959
0.91,10,56.04826
0.91,10,56.062524
0.928,8,56.073942
0.937,7,56.083678
0.946,6,56.091828
0.946,6,56.099757
0.937,7,56.109347
0.937,7,56.118834
0.955,5,56.129115
0.955,5,56.139675
0.946,6,56.148094
0.946,6,56.156429
0.955,5,56.163158
0.883,13,56.180643
0.892,12,56.197026
0.955,5,56.203887
0.955,5,56.211054
0.91,10,56.225157
0.928,8,56.240302
0.946,6,56.249467
0.937,7,56.259299
0.919,9,56.271878
0.946,6,56.279931
0.928,8,56.290488
0.955,5,56.297183
0.874,14,56.317739
0.937,7,56.327455
0.91,10,56.348062
0.883,13,56.36768
0.91,10,56.381474
0.955,5,56.389121
0.946,6,56.397431
0.946,6,56.405698
0.946,6,56.414196
0.91,10,56.42831
0.901,11,56.448091
0.955,5,56.456901
0.946,6,56.465441
0.901,11,56.480645
0.829,19,56.507537
0.928,8,56.518531
0.91,10,56.532196
0.955,5,56.542839
0.937,7,56.554844
0.946,6,56.563733
0.928,8,56.575016
0.955,5,56.582513
0.946,6,56.591302
0.91,10,56.607584
0.937,7,59.651047
0.946,6,59.663665
0.937,7,59.675373
0.928,8,59.687659
0.955,5,59.69531
0.955,5,59.703538
0.937,7,59.71412
0.91,10,59.729411
0.946,6,59.738152
0.937,7,59.75231
0.937,7,59.764961
0.946,6,59.774792
0.955,5,59.782155
0.955,5,59.789823
0.901,11,59.80609
0.955,5,59.813761
0.91,10,59.828421
0.955,5,59.835746
0.937,7,59.845786
0.955,5,59.857217
0.955,5,59.866957
0.937,7,59.878185
0.955,5,59.885705
0.901,11,59.902204
0.955,5,59.909616
0.955,5,59.917002
0.937,7,59.927132
0.955,5,59.934391
0.955,5,59.94191
0.955,5,59.949206
0.946,6,59.962163
0.946,6,59.973706
0.955,5,59.982252
0.937,7,59.992793
0.946,6,60.001259
0.955,5,60.008472
0.946,6,60.016799
0.955,5,60.024328
0.937,7,60.034799
0.946,6,60.043151
0.919,9,60.059503
0.955,5,60.067966
